mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->cash; 1->aggressive; 2->defensive; 3->cautious,-0.012514812599423037,1924,0.009636226611226612,0.06871080004763375,0.008741819917832183,0.07146784550618547,-0.012514812599423037,-0.21534190816398813,0.040595070380703945,1.0687108000476337,0.13290020790020796,255.70000000000013
0->cash; 1->rebound; 2->cautious; 3->defensive,-0.07102272258256356,1924,0.009636226611226612,0.037530321298894,0.004837278413822643,0.06756919508154895,-0.07102272258256356,-0.2297757417338171,0.02105217190170741,1.037530321298894,0.12635135135135142,243.10000000000014
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.07437273758200781,1924,0.009636226611226612,0.01468583018751013,0.0019113448219398865,0.10386711637135598,-0.07437273758200781,-0.26548195505480765,0.0071995281997426054,1.0146858301875101,0.2351871101871102,452.5
0->cash; 1->defensive; 2->aggressive; 3->rebound,-0.09978388287545249,1924,0.009636226611226612,-0.005262355870781832,-0.0006908294638844348,0.10349422950398708,-0.09978388287545249,-0.2712153024135727,-0.002547162559548347,0.9947376441292182,0.24080041580041578,463.29999999999995
0->aggressive; 1->rebound; 2->cautious; 3->defensive,-0.10015859745888153,1924,0.009636226611226612,0.021984763345912484,0.0028523653256811166,0.06773119290463805,-0.10015859745888153,-0.22977574173381787,0.01241369216853805,1.0219847633459125,0.1256237006237007,241.70000000000016
0->cautious; 1->defensive; 2->aggressive; 3->rebound,-0.10646779631334707,1924,0.009636226611226612,-0.0105519761323003,-0.001388446251740505,0.10354936651943303,-0.10646779631334707,-0.27121530241357183,-0.005119350712826984,0.9894480238676997,0.23882536382536382,459.5
0->defensive; 1->cash; 2->rebound; 3->aggressive,-0.12122634632132288,1924,0.009636226611226612,-0.017262949272459305,-0.002278196293473589,0.09828245481489477,-0.12122634632132288,-0.24822917373662656,-0.009177794290572696,0.9827370507275407,0.25639293139293134,493.29999999999995
0->cautious; 1->cash; 2->rebound; 3->aggressive,-0.12286814524252145,1924,0.009636226611226612,-0.018472091290479997,-0.0024390670914075097,0.09827847306394578,-0.12286814524252145,-0.24822917373662612,-0.009825867985990182,0.98152790870952,0.255977130977131,492.5
0->defensive; 1->cash; 2->aggressive; 3->rebound,-0.16665962968646322,1924,0.009636226611226612,-0.056077243452088976,-0.007530317605173753,0.10300361430477067,-0.16665962968646322,-0.27762173714255334,-0.02712438039859639,0.943922756547911,0.25561330561330564,491.8
0->cautious; 1->cash; 2->aggressive; 3->rebound,-0.16821928953613027,1924,0.009636226611226612,-0.057238794160194284,-0.007690364321793153,0.1030000244371401,-0.16821928953613027,-0.27762173714255434,-0.02770087242067891,0.9427612058398057,0.25519750519750517,490.99999999999994
0->rebound; 1->cash; 2->defensive; 3->cautious,-0.2757230159728297,1924,0.009636226611226612,-0.05770462403833543,-0.007754597820723297,0.06307353185801375,-0.2757230159728297,-0.22226835027515324,-0.034888448180425274,0.9422953759616646,0.13960498960498968,268.60000000000014
0->aggressive; 1->cash; 2->defensive; 3->cautious,-0.28524080419908154,1924,0.009636226611226612,-0.06216355154675868,-0.008370841663370654,0.06312935600205845,-0.28524080419908154,-0.22226835027515635,-0.03766096996269599,0.9378364484532413,0.1404365904365905,270.20000000000016
0->cash; 1->aggressive; 2->cautious; 3->rebound,-0.2897697284310084,1924,0.009636226611226612,-0.09757842282034979,-0.013357860088416662,0.07935296355539762,-0.2897697284310084,-0.21331757654089878,-0.06261959424546339,0.9024215771796502,0.2900727650727651,558.1
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.2941846984833003,1924,0.009636226611226612,-0.10019720980017954,-0.013733346389902312,0.07943843823833524,-0.2941846984833003,-0.21331757654090067,-0.06437981629361486,0.8998027901998205,0.2878898128898129,553.9000000000001
0->rebound; 1->cash; 2->cautious; 3->defensive,-0.2991427451527043,1924,0.009636226611226612,-0.06854024895045563,-0.009256569101452783,0.063156456303278,-0.2991427451527043,-0.23504604726063238,-0.039381939025711736,0.9314597510495444,0.1388253638253639,267.10000000000014
0->aggressive; 1->cash; 2->cautious; 3->defensive,-0.30861526459803207,1924,0.009636226611226612,-0.07294764932963105,-0.009871844721935918,0.06321162162400351,-0.30861526459803207,-0.23504604726063505,-0.04199962023181503,0.927052350670369,0.13965696465696473,268.70000000000016
0->cash; 1->aggressive; 2->rebound; 3->cautious,-0.36685619909347306,1924,0.009636226611226612,-0.14715122792396107,-0.02063220993838466,0.08250763275748553,-0.36685619909347306,-0.25906164364082285,-0.07964208691190997,0.8528487720760389,0.293970893970894,565.6
0->defensive; 1->aggressive; 2->rebound; 3->cautious,-0.37104021090792455,1924,0.009636226611226612,-0.149620591230888,-0.02100408861722014,0.08257950035515234,-0.37104021090792455,-0.2590616436408233,-0.08107757027258468,0.850379408769112,0.2917879417879418,561.4000000000001
0->cash; 1->defensive; 2->cautious; 3->rebound,-0.4630375860026614,1924,0.009636226611226612,-0.16904786424244767,-0.023962966440113087,0.07256256093894412,-0.4630375860026614,-0.2440584115049783,-0.09818537411739357,0.8309521357575523,0.2899168399168399,557.8
0->aggressive; 1->defensive; 2->cautious; 3->rebound,-0.4850570833876928,1924,0.009636226611226612,-0.17986291698849055,-0.025636303882764278,0.07271830821981527,-0.4850570833876928,-0.2538971829584602,-0.10097120253184771,0.8201370830115094,0.2881496881496882,554.4000000000001
0->cash; 1->defensive; 2->rebound; 3->cautious,-0.5114748359216765,1924,0.009636226611226612,-0.20284299870713818,-0.02925648514409196,0.07604032304978207,-0.5114748359216765,-0.26993570329795635,-0.10838316231105785,0.7971570012928618,0.28601871101871107,550.3000000000001
